"Check last 100 debug log records","Letzte 100 Debugging-Protokolleinträge prüfen"
"Run Self-test","Selbsttest ausführen"
"Check for latest versions","Nach aktueller Version suchen"
"Test Apikey","API-Schlüssel testen"
"Self Test","Selbsttest"
"Payment Fee","Zahlungsgebühr"
"The latest status from Mollie has been retrieved","Der aktuelle Status von Mollie wurde abgerufen"
"We cancelled order %1, created this order and marked it as complete.","Wir haben die Bestellung %1 storniert, diese Bestellung erstellt und als abgeschlossen markiert."
"Warning: We recommend to install the Mollie extension using Composer, currently it's installed in the app/code folder.","Achtung: Wir empfehlen, die Mollie-Erweiterung über Composer zu installieren. Aktuell ist sie im App/Code-Ordner installiert."
"The payment reminder email was successfully send","Die E-Mail mit der Zahlungserinnerung wurde erfolgreich abgesendet"
"Log is empty","Protokoll ist leer"
"The payment reminder has been removed","Die Zahlungserinnerung wurde entfernt"
"The selected payment reminders have been removed","Die ausgewählten Zahlungserinnerungen wurden entfernt"
"Pending Payment Reminders","Ausstehende Zahlungserinnerungen"
"The payment reminder for order #%1 has been sent","Die Zahlungserinnerung für Bestellung #%1 wurde abgesendet"
"The payment reminder for %1 order(s) has been sent","Die Zahlungserinnerung für %1 Bestellung(en) wurde abgesendet"
"Sent Payment Reminders","Gesendete Zahlungserinnerungen"
"Invalid return, missing order id.","Ungültige Ausgabe, fehlende Bestellnummer."
"Invalid return from Mollie.","Ungültige Ausgabe von Mollie."
"There was an error checking the transaction status.","Bei der Überprüfung des Transaktionsstatus ist ein Fehler aufgetreten."
"Something went wrong.","Etwas ist schiefgegangen."
"Payment canceled, please try again.","Zahlung abgebrochen. Bitte versuchen Sie es noch einmal."
"Payment of type %1 has been rejected. Decision is based on order and outcome of risk assessment.","Die Zahlung vom Typ %1 wurde abgelehnt. Die Entscheidung basiert auf der Bestellung und dem Ergebnis der Risikobewertung."
"Payment Method not found","Zahlungsmethode nicht gefunden"
"Canceled because an error occurred while redirecting the customer to Mollie","Die Zahlung wurde wegen eines Fehlers bei der Weiterleitung des Kunden zu Mollie abgebrochen"
